url,comment
https://www.carenity.com/donner-mon-avis/medicaments/a-313-1,"Avec ça, plus de carence."
https://www.carenity.com/donner-mon-avis/medicaments/a-313-1,A ce jour Mars 2025 toujours en rupture pour une durée indéterminée
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,"Abasaglar provoque chez moi des douleurs persistantes sur tout le corps, cela fait un an que je le prends et j'aimerais savoir si d'autres personnes ressentent cet effet secondaire épuisant"
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,remplacé par Lantus car injection douloureuse avec Abasaglar
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,"Je suis diabétique depuis l’âge de 5 mois (1982), la Basaglar m’a été mise en hospitalisation l’année dernière , beaucoup d’hypoglycémie et coma diabétique nocturne, pas satisfaite du tout . Je me réveille en hypo obligé de me re sucrée et ensuite ma glycémie monte en hyper voir même sans hypo alors que j’ai une activité physique.
J’ai une injection par 2;h et obligé de me faire de la rapide alors que je devrai sans avoir manger avoir un bon résultat"
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,Moi 1 insuline le soir 24 unité et mon diabète ET bon
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,Me conviens a littéralement changer mon diabète Hg de 5.7 le 6 janvier 2022
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,"pour moi ,c'est pas mal"
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,très bien
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,Très efficace
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,Pour moi c’est l’insuline qui me convient 1 piqure par jour et diabète équilibré
https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2,très bien
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Addiction immédiate
Sevrage impossible
Un conseil
Ne jamais commencer"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonjour,
Je prends de l'abilify et je souhaiterais savoir, chez ceux qui le prennent et chez qui ça ouvre l'appétit, si vous aviez faim tout le temps et/ou tous les jours de la même façon ?
Chez moi il y a des jours où j'ai très faim et d'autres où je ne pense pas à la nourriture. Je me demande donc si ma faim provient du médicament ou de moi.
Merci pour vos réponses"
