name,url
A 313,https://www.carenity.com/donner-mon-avis/medicaments/a-313-1
ABASAGLAR,https://www.carenity.com/donner-mon-avis/medicaments/abasaglar-2
ABELCET,https://www.carenity.com/donner-mon-avis/medicaments/abelcet-3
ABILIFY,https://www.carenity.com/donner-mon-avis/medicaments/abilify-4
ABRAXANE,https://www.carenity.com/donner-mon-avis/medicaments/abraxane-5
ABSTRAL,https://www.carenity.com/donner-mon-avis/medicaments/abstral-6
ABUFENE,https://www.carenity.com/donner-mon-avis/medicaments/abufene-7
ACADIONE,https://www.carenity.com/donner-mon-avis/medicaments/acadione-8
ACAMPROSATE,https://www.carenity.com/donner-mon-avis/medicaments/acamprosate-9
ACARBOSE,https://www.carenity.com/donner-mon-avis/medicaments/acarbose-10
ACCOFIL,https://www.carenity.com/donner-mon-avis/medicaments/accofil-11
ACCUSOL,https://www.carenity.com/donner-mon-avis/medicaments/accusol-12
ACEBUTOLOL,https://www.carenity.com/donner-mon-avis/medicaments/acebutolol-13
ACECLOFENAC,https://www.carenity.com/donner-mon-avis/medicaments/aceclofenac-14
ACETYLCYSTEINE,https://www.carenity.com/donner-mon-avis/medicaments/acetylcysteine-15
ACETYLLEUCINE,https://www.carenity.com/donner-mon-avis/medicaments/acetylleucine-16
ACICLOVIR,https://www.carenity.com/donner-mon-avis/medicaments/aciclovir-17
ACIDE FOLIQUE,https://www.carenity.com/donner-mon-avis/medicaments/acide-folique-18
ACIDE ZOLEDRONIQUE,https://www.carenity.com/donner-mon-avis/medicaments/acide-zoledronique-19
ACIDRINE,https://www.carenity.com/donner-mon-avis/medicaments/acidrine-20
ACLASTA,https://www.carenity.com/donner-mon-avis/medicaments/aclasta-21
ACLOTINE,https://www.carenity.com/donner-mon-avis/medicaments/aclotine-22
ACNETRAIT,https://www.carenity.com/donner-mon-avis/medicaments/acnetrait-23
ACT HIB,https://www.carenity.com/donner-mon-avis/medicaments/act-hib-24
ACTAPULGITE,https://www.carenity.com/donner-mon-avis/medicaments/actapulgite-25
ACTHEANE,https://www.carenity.com/donner-mon-avis/medicaments/actheane-26
ACTI,https://www.carenity.com/donner-mon-avis/medicaments/acti-27
ACTICARBINE,https://www.carenity.com/donner-mon-avis/medicaments/acticarbine-28
